Maximum fit for each generation: 
Best fit for generation 750: 2382
Best fit for generation 751: 2382
Best fit for generation 752: 2382
Best fit for generation 753: 2382
Best fit for generation 754: 2382
Best fit for generation 755: 2382
Best fit for generation 756: 2382
Best fit for generation 757: 2382
Best fit for generation 758: 2382
Best fit for generation 759: 2382
Best fit for generation 760: 2382
Best fit for generation 761: 2382
Best fit for generation 762: 2382
Best fit for generation 763: 2382
Best fit for generation 764: 2382
Best fit for generation 765: 2382
Best fit for generation 766: 2382
Best fit for generation 767: 2382
Best fit for generation 768: 2382
Best fit for generation 769: 2382
Best fit for generation 770: 2382
Best fit for generation 771: 2382
Best fit for generation 772: 2382
Best fit for generation 773: 2382
Best fit for generation 774: 2382
Best fit for generation 775: 2382
Best fit for generation 776: 2382
Best fit for generation 777: 2382
Best fit for generation 778: 2382
Best fit for generation 779: 2382
Best fit for generation 780: 2382
Best fit for generation 781: 2382
Best fit for generation 782: 2382
Best fit for generation 783: 2382
Best fit for generation 784: 2382
Best fit for generation 785: 2382
Best fit for generation 786: 2382
Best fit for generation 787: 2382
Best fit for generation 788: 2382
Best fit for generation 789: 2382
Best fit for generation 790: 2382
Best fit for generation 791: 2382
Best fit for generation 792: 2382
Best fit for generation 793: 2382
Best fit for generation 794: 2382
Best fit for generation 795: 2382
Best fit for generation 796: 2382
Best fit for generation 797: 2382
Best fit for generation 798: 2382
Best fit for generation 799: 2382
Best fit for generation 800: 2382
Best fit for generation 801: 2382
Best fit for generation 802: 2382
Best fit for generation 803: 2382
Best fit for generation 804: 2382
Best fit for generation 805: 2382
Best fit for generation 806: 2382
Best fit for generation 807: 2382
Best fit for generation 808: 2382
Best fit for generation 809: 2382
Best fit for generation 810: 2382
Best fit for generation 811: 2382
Best fit for generation 812: 2382
Best fit for generation 813: 2382
Best fit for generation 814: 2382
Best fit for generation 815: 2382
Best fit for generation 816: 2382
Best fit for generation 817: 2382
Best fit for generation 818: 2382
Best fit for generation 819: 2382
Best fit for generation 820: 2382
Best fit for generation 821: 2382
Best fit for generation 822: 2382
Best fit for generation 823: 2382
Best fit for generation 824: 2382
Best fit for generation 825: 2382
Best fit for generation 826: 2382
Best fit for generation 827: 2382
Best fit for generation 828: 2382
Best fit for generation 829: 2382
Best fit for generation 830: 2382
Best fit for generation 831: 2382
Best fit for generation 832: 2382
Best fit for generation 833: 2382
Best fit for generation 834: 2382
Best fit for generation 835: 2382
Best fit for generation 836: 2382
Best fit for generation 837: 2382
Best fit for generation 838: 2382
Best fit for generation 839: 2382
Best fit for generation 840: 2382
Best fit for generation 841: 2382
Best fit for generation 842: 2382
Best fit for generation 843: 2384
Best fit for generation 844: 2384
Best fit for generation 845: 2384
Best fit for generation 846: 2384
Best fit for generation 847: 2384
Best fit for generation 848: 2384
Best fit for generation 849: 2384
Best fit for generation 850: 2384
Best fit for generation 851: 2384
Best fit for generation 852: 2384
Best fit for generation 853: 2384
Best fit for generation 854: 2384
Best fit for generation 855: 2384
Best fit for generation 856: 2384
Best fit for generation 857: 2384
Best fit for generation 858: 2384
Best fit for generation 859: 2384
Best fit for generation 860: 2384
Best fit for generation 861: 2384
Best fit for generation 862: 2384
Best fit for generation 863: 2384
Best fit for generation 864: 2384
Best fit for generation 865: 2384
Best fit for generation 866: 2384
Best fit for generation 867: 2384
Best fit for generation 868: 2384
Best fit for generation 869: 2384
Best fit for generation 870: 2384
Best fit for generation 871: 2384
Best fit for generation 872: 2384
Best fit for generation 873: 2384
Best fit for generation 874: 2384
Best fit for generation 875: 2384
Best fit for generation 876: 2384
Best fit for generation 877: 2384
Best fit for generation 878: 2384
Best fit for generation 879: 2384
Best fit for generation 880: 2384
Best fit for generation 881: 2384
Best fit for generation 882: 2384
Best fit for generation 883: 2384
Best fit for generation 884: 2384
Best fit for generation 885: 2384
Best fit for generation 886: 2384
Best fit for generation 887: 2384
Best fit for generation 888: 2384
Best fit for generation 889: 2384
Best fit for generation 890: 2384
Best fit for generation 891: 2384
Best fit for generation 892: 2384
Best fit for generation 893: 2384
Best fit for generation 894: 2384
Best fit for generation 895: 2384
Best fit for generation 896: 2384
Best fit for generation 897: 2384
Best fit for generation 898: 2384
Best fit for generation 899: 2384
Best fit for generation 900: 2384
Best fit for generation 901: 2384
Best fit for generation 902: 2384
Best fit for generation 903: 2384
Best fit for generation 904: 2384
Best fit for generation 905: 2384
