Maximum fit for each generation: 
Best fit for generation 625: 2168
Best fit for generation 626: 2168
Best fit for generation 627: 2168
Best fit for generation 628: 2168
Best fit for generation 629: 2168
Best fit for generation 630: 2168
Best fit for generation 631: 2168
Best fit for generation 632: 2168
Best fit for generation 633: 2168
Best fit for generation 634: 2168
Best fit for generation 635: 2168
Best fit for generation 636: 2168
Best fit for generation 637: 2168
Best fit for generation 638: 2168
Best fit for generation 639: 2168
Best fit for generation 640: 2168
Best fit for generation 641: 2168
Best fit for generation 642: 2168
Best fit for generation 643: 2168
Best fit for generation 644: 2168
Best fit for generation 645: 2168
Best fit for generation 646: 2168
Best fit for generation 647: 2168
Best fit for generation 648: 2168
Best fit for generation 649: 2168
Best fit for generation 650: 2168
Best fit for generation 651: 2168
Best fit for generation 652: 2168
Best fit for generation 653: 2168
Best fit for generation 654: 2168
Best fit for generation 655: 2168
Best fit for generation 656: 2168
Best fit for generation 657: 2168
Best fit for generation 658: 2168
Best fit for generation 659: 2168
Best fit for generation 660: 2168
Best fit for generation 661: 2168
Best fit for generation 662: 2168
Best fit for generation 663: 2168
Best fit for generation 664: 2168
Best fit for generation 665: 2168
Best fit for generation 666: 2168
Best fit for generation 667: 2168
Best fit for generation 668: 2168
Best fit for generation 669: 2168
Best fit for generation 670: 2168
Best fit for generation 671: 2168
Best fit for generation 672: 2168
Best fit for generation 673: 2168
Best fit for generation 674: 2168
Best fit for generation 675: 2168
Best fit for generation 676: 2168
Best fit for generation 677: 2168
Best fit for generation 678: 2168
Best fit for generation 679: 2168
Best fit for generation 680: 2168
Best fit for generation 681: 2168
Best fit for generation 682: 2168
Best fit for generation 683: 2168
Best fit for generation 684: 2168
Best fit for generation 685: 2168
Best fit for generation 686: 2168
Best fit for generation 687: 2168
Best fit for generation 688: 2168
Best fit for generation 689: 2168
Best fit for generation 690: 2168
Best fit for generation 691: 2168
Best fit for generation 692: 2168
Best fit for generation 693: 2168
Best fit for generation 694: 2168
Best fit for generation 695: 2168
Best fit for generation 696: 2168
Best fit for generation 697: 2168
Best fit for generation 698: 2168
Best fit for generation 699: 2168
Best fit for generation 700: 2168
Best fit for generation 701: 2168
Best fit for generation 702: 2168
Best fit for generation 703: 2168
Best fit for generation 704: 2168
Best fit for generation 705: 2168
Best fit for generation 706: 2168
Best fit for generation 707: 2168
Best fit for generation 708: 2168
Best fit for generation 709: 2168
Best fit for generation 710: 2168
Best fit for generation 711: 2168
Best fit for generation 712: 2168
Best fit for generation 713: 2168
Best fit for generation 714: 2168
Best fit for generation 715: 2168
Best fit for generation 716: 2168
Best fit for generation 717: 2168
Best fit for generation 718: 2168
Best fit for generation 719: 2168
Best fit for generation 720: 2168
Best fit for generation 721: 2168
Best fit for generation 722: 2168
Best fit for generation 723: 2168
Best fit for generation 724: 2168
Best fit for generation 725: 2168
Best fit for generation 726: 2168
Best fit for generation 727: 2168
Best fit for generation 728: 2168
Best fit for generation 729: 2168
Best fit for generation 730: 2168
Best fit for generation 731: 2168
Best fit for generation 732: 2168
Best fit for generation 733: 2168
Best fit for generation 734: 2168
Best fit for generation 735: 2168
Best fit for generation 736: 2168
Best fit for generation 737: 2168
Best fit for generation 738: 2168
Best fit for generation 739: 2168
Best fit for generation 740: 2168
Best fit for generation 741: 2168
Best fit for generation 742: 2168
Best fit for generation 743: 2168
Best fit for generation 744: 2168
Best fit for generation 745: 2168
Best fit for generation 746: 2168
Best fit for generation 747: 2168
Best fit for generation 748: 2168
Best fit for generation 749: 2168
Best fit for generation 750: 2168
Best fit for generation 751: 2168
Best fit for generation 752: 2168
Best fit for generation 753: 2168
Best fit for generation 754: 2168
Best fit for generation 755: 2168
Best fit for generation 756: 2168
Best fit for generation 757: 2168
Best fit for generation 758: 2168
Best fit for generation 759: 2168
Best fit for generation 760: 2168
Best fit for generation 761: 2168
Best fit for generation 762: 2168
Best fit for generation 763: 2168
Best fit for generation 764: 2168
Best fit for generation 765: 2168
Best fit for generation 766: 2168
Best fit for generation 767: 2168
Best fit for generation 768: 2168
Best fit for generation 769: 2168
Best fit for generation 770: 2168
Best fit for generation 771: 2168
Best fit for generation 772: 2168
Best fit for generation 773: 2168
Best fit for generation 774: 2168
Best fit for generation 775: 2168
Best fit for generation 776: 2168
Best fit for generation 777: 2168
Best fit for generation 778: 2168
Best fit for generation 779: 2168
Best fit for generation 780: 2168
Best fit for generation 781: 2168
Best fit for generation 782: 2168
Best fit for generation 783: 2168
Best fit for generation 784: 2168
Best fit for generation 785: 2168
Best fit for generation 786: 2168
Best fit for generation 787: 2168
Best fit for generation 788: 2168
Best fit for generation 789: 2168
Best fit for generation 790: 2168
Best fit for generation 791: 2168
Best fit for generation 792: 2168
Best fit for generation 793: 2168
Best fit for generation 794: 2168
Best fit for generation 795: 2168
Best fit for generation 796: 2168
Best fit for generation 797: 2168
Best fit for generation 798: 2168
Best fit for generation 799: 2168
Best fit for generation 800: 2168
Best fit for generation 801: 2168
Best fit for generation 802: 2168
Best fit for generation 803: 2168
Best fit for generation 804: 2168
Best fit for generation 805: 2168
Best fit for generation 806: 2168
Best fit for generation 807: 2168
Best fit for generation 808: 2168
Best fit for generation 809: 2168
Best fit for generation 810: 2168
Best fit for generation 811: 2168
Best fit for generation 812: 2168
Best fit for generation 813: 2168
Best fit for generation 814: 2168
Best fit for generation 815: 2168
Best fit for generation 816: 2168
Best fit for generation 817: 2168
Best fit for generation 818: 2168
Best fit for generation 819: 2168
Best fit for generation 820: 2168
Best fit for generation 821: 2168
Best fit for generation 822: 2168
Best fit for generation 823: 2168
Best fit for generation 824: 2168
Best fit for generation 825: 2168
Best fit for generation 826: 2168
Best fit for generation 827: 2168
Best fit for generation 828: 2168
Best fit for generation 829: 2168
Best fit for generation 830: 2168
Best fit for generation 831: 2168
Best fit for generation 832: 2168
Best fit for generation 833: 2168
Best fit for generation 834: 2168
Best fit for generation 835: 2168
Best fit for generation 836: 2168
Best fit for generation 837: 2168
Best fit for generation 838: 2168
Best fit for generation 839: 2168
Best fit for generation 840: 2168
Best fit for generation 841: 2168
Best fit for generation 842: 2168
Best fit for generation 843: 2168
Best fit for generation 844: 2168
Best fit for generation 845: 2168
Best fit for generation 846: 2168
Best fit for generation 847: 2168
Best fit for generation 848: 2168
Best fit for generation 849: 2168
Best fit for generation 850: 2168
Best fit for generation 851: 2168
Best fit for generation 852: 2168
Best fit for generation 853: 2168
Best fit for generation 854: 2168
Best fit for generation 855: 2168
Best fit for generation 856: 2168
Best fit for generation 857: 2168
Best fit for generation 858: 2168
Best fit for generation 859: 2170
Best fit for generation 860: 2170
Best fit for generation 861: 2170
Best fit for generation 862: 2170
Best fit for generation 863: 2170
Best fit for generation 864: 2170
Best fit for generation 865: 2170
Best fit for generation 866: 2170
Best fit for generation 867: 2170
Best fit for generation 868: 2170
Best fit for generation 869: 2170
Best fit for generation 870: 2170
Best fit for generation 871: 2170
Best fit for generation 872: 2170
Best fit for generation 873: 2170
Best fit for generation 874: 2170
Best fit for generation 875: 2170
Best fit for generation 876: 2170
Best fit for generation 877: 2170
Best fit for generation 878: 2170
Best fit for generation 879: 2170
Best fit for generation 880: 2170
