Maximum fit for each generation: 
Best fit for generation 576: 748
Best fit for generation 577: 748
Best fit for generation 578: 748
Best fit for generation 579: 748
Best fit for generation 580: 748
Best fit for generation 581: 748
Best fit for generation 582: 748
Best fit for generation 583: 748
Best fit for generation 584: 748
Best fit for generation 585: 748
Best fit for generation 586: 748
Best fit for generation 587: 748
Best fit for generation 588: 748
Best fit for generation 589: 748
Best fit for generation 590: 748
Best fit for generation 591: 748
Best fit for generation 592: 748
Best fit for generation 593: 748
Best fit for generation 594: 748
Best fit for generation 595: 748
Best fit for generation 596: 748
Best fit for generation 597: 748
Best fit for generation 598: 748
Best fit for generation 599: 748
Best fit for generation 600: 748
Best fit for generation 601: 748
Best fit for generation 602: 748
Best fit for generation 603: 748
Best fit for generation 604: 748
Best fit for generation 605: 748
Best fit for generation 606: 748
Best fit for generation 607: 748
Best fit for generation 608: 748
Best fit for generation 609: 748
Best fit for generation 610: 748
Best fit for generation 611: 748
Best fit for generation 612: 748
Best fit for generation 613: 748
Best fit for generation 614: 748
Best fit for generation 615: 748
Best fit for generation 616: 748
Best fit for generation 617: 748
Best fit for generation 618: 748
Best fit for generation 619: 748
Best fit for generation 620: 748
Best fit for generation 621: 748
Best fit for generation 622: 748
Best fit for generation 623: 748
Best fit for generation 624: 748
Best fit for generation 625: 748
Best fit for generation 626: 748
Best fit for generation 627: 748
Best fit for generation 628: 748
Best fit for generation 629: 748
Best fit for generation 630: 748
Best fit for generation 631: 748
Best fit for generation 632: 748
Best fit for generation 633: 748
Best fit for generation 634: 748
Best fit for generation 635: 748
Best fit for generation 636: 748
Best fit for generation 637: 748
Best fit for generation 638: 748
Best fit for generation 639: 748
Best fit for generation 640: 748
Best fit for generation 641: 748
Best fit for generation 642: 748
Best fit for generation 643: 748
Best fit for generation 644: 748
Best fit for generation 645: 748
Best fit for generation 646: 748
Best fit for generation 647: 748
Best fit for generation 648: 748
Best fit for generation 649: 748
Best fit for generation 650: 748
Best fit for generation 651: 748
Best fit for generation 652: 748
Best fit for generation 653: 748
Best fit for generation 654: 748
Best fit for generation 655: 748
Best fit for generation 656: 748
Best fit for generation 657: 748
Best fit for generation 658: 748
Best fit for generation 659: 748
Best fit for generation 660: 748
Best fit for generation 661: 748
Best fit for generation 662: 748
